CustomerNumber,OfferAccepted,Reward,MailerType,IncomeLevel,NumBankAccountsOpen,OverdraftProtection,CreditRating,NumCreditCardsHeld,NumHomesOwned,HouseholdSize,OwnYourHome,AverageBalance,Q1Balance,Q2Balance,Q3Balance,Q4Balance,Rand,Keep,Accepted
1,No,Air Miles,Letter,Medium,1,No,Medium,2,2,5,Yes,147.25,39,106,78,366,0.185117003,1,0
2,No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,276.5,367,352,145,242,0.10838743,1,0
3,No,Cash Back,Postcard,Low,1,No,Medium,4,1,4,Yes,278.5,132,391,285,306,0.028610176,1,0
4,No,Points,Letter,Low,1,No,High,1,1,3,No,1052.25,1996,1038,439,736,0.082723599,1,0
5,No,Cash Back,Letter,High,1,No,Low,2,1,2,No,1012.25,1715,1486,713,135,0.064068007,1,0
6,No,Points,Letter,Medium,1,No,Low,2,2,3,Yes,811.75,720,407,1224,896,0.136471868,1,0
7,No,Cash Back,Postcard,Medium,1,Yes,High,3,2,5,Yes,1130.25,1931,1097,921,572,0.136471868,1,0
8,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5,54,515,1204,1305,0.136471868,1,1
9,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,709,551,866,790,629,0.136471868,1,0
10,No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,733,781,683,558,910,0.136471868,1,0
11,No,Air Miles,Postcard,Low,3,No,Medium,1,1,4,Yes,659.5,715,626,746,551,0.136471868,1,0
12,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,834.75,185,868,1503,783,0.136471868,1,0
13,No,Points,Postcard,Medium,1,No,Low,2,1,2,No,838.75,997,910,504,944,0.136471868,1,0
14,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25,206,467,1744,988,0.136471868,1,1
15,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75,1536,1232,597,362,0.136471868,1,1
16,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75,1787,908,1343,733,0.136471868,1,1
17,No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,1014.25,717,1289,1443,608,0.136471868,1,0
18,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5,1073,1127,1603,1515,0.136471868,1,1
19,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5,235,434,1310,1655,0.136471868,1,1
20,No,Air Miles,Postcard,Medium,3,No,Medium,2,1,3,Yes,1102.75,200,1704,1855,652,0.136471868,1,0
21,No,Points,Postcard,Medium,1,No,Medium,2,1,4,No,1293,538,826,1735,2073,0.136471868,1,0
22,No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,1247.25,757,450,1768,2014,0.136471868,1,0
23,Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5,1274,1412,1838,1294,0.136471868,1,1
24,No,Points,Letter,Low,2,Yes,Medium,1,1,3,Yes,1185.75,382,1293,2183,885,0.136471868,1,0
25,Yes,Points,Postcard,High,1,Yes,Low,1,1,9,No,161.5,44,99,454,49,0.136471868,1,1
